QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20222,04821034,16,0,1,03,D,200,D,3,D,,A,,A,02,D,2021,D
20222,04823284,16,0,1,02,D,200,D,1,D,92000,D,0,D,02,D,2022,D
20222,04832724,46,0,2,02,D,200,D,1,D,546000,D,35000,D,02,D,2022,D
20222,04839874,16,0,1,04,D,200,D,1,D,,A,,A,06,D,2022,D
20222,04848704,14,0,1,02,D,300,D,2,D,,A,,A,03,D,2022,D
20222,04901413,10,0,1,01,D,200,D,1,D,22000,D,2000,D,01,D,2022,D
20222,04903063,17,0,1,05,D,300,D,3,D,,A,,A,01,D,2022,D
20222,04909333,5,0,1,01,D,200,D,3,D,,A,,A,04,D,2000,D
20222,04912353,16,0,1,02,D,300,D,3,D,,A,,A,02,D,2022,D
20222,04914753,22,0,1,03,D,400,D,1,D,,A,,A,04,D,2021,D
20222,04917773,30,0,1,02,D,400,D,1,D,7000,D,1500,D,04,D,2022,D
20222,04921593,11,0,1,02,D,400,D,2,D,,A,,A,03,D,2021,D
20222,04922253,22,0,1,02,D,400,D,1,D,58333,T,0,D,03,D,2022,D
20222,04933272,10,0,1,02,D,300,D,2,D,,A,,A,01,D,2022,D
20222,04945862,25,0,1,02,D,300,D,1,D,,A,,A,04,D,2022,D
20222,04949313,39,0,1,03,D,200,D,1,D,165000,D,10000,D,03,D,2022,D
20222,04954102,32,0,1,02,D,200,D,1,D,152000,D,4560,D,05,D,2022,D
20222,04955562,7,0,1,01,D,200,D,1,D,,A,,A,04,D,2021,D
20222,04962782,27,0,1,03,D,300,D,1,D,221667,T,19000,D,05,D,2022,D
20222,05011271,10,0,1,01,D,200,D,1,D,413000,D,20000,D,02,D,2022,D
20222,05012181,17,0,1,02,D,400,D,1,D,58333,T,450,D,03,D,2022,D
20222,05015821,26,0,1,01,D,200,D,1,D,490000,D,20000,F,02,D,2022,D
20222,05042444,17,0,1,02,D,200,D,1,D,340000,D,15000,D,04,D,2022,D
20222,05042901,12,0,1,03,D,400,D,1,D,58333,T,4400,D,05,D,2022,D
20223,04906554,26,0,1,02,D,200,D,1,D,375000,D,20000,D,04,D,2022,D
20223,04907124,26,0,1,03,D,400,D,1,D,,A,,A,07,D,2022,D
20223,04908594,11,0,2,02,D,200,D,1,D,200000,D,480,D,05,D,2022,D
20223,04912224,25,0,1,02,D,200,D,1,D,,A,,A,05,D,2021,D
20223,04913124,25,0,1,01,D,300,D,3,D,,A,,A,06,D,2022,D
20223,04918664,24,0,1,02,D,200,D,1,D,,A,,A,07,D,2022,D
20223,04925034,10,0,1,01,D,100,D,1,D,,A,,A,08,D,2022,D
20223,04930074,46,0,1,03,D,200,D,3,D,,A,,A,08,D,2022,D
20223,04932253,19,0,1,02,D,300,D,1,D,221667,T,0,D,06,D,2022,D
20223,04934363,37,0,1,05,D,200,D,2,D,,A,,A,06,D,2022,D
20223,04941553,6,0,1,01,D,200,D,1,D,10000,D,0,D,06,D,2022,D
20223,04949314,37,0,1,02,D,200,D,1,D,210000,D,7000,D,06,D,2022,D
20223,04957073,24,0,1,01,D,300,D,1,D,221667,T,32917,D,07,D,2022,D
20223,04962213,18,0,1,03,D,400,D,3,D,,A,,A,08,D,2022,D
20223,05021222,40,0,1,07,D,300,D,2,D,,A,,A,05,D,2022,D
20223,05023082,13,0,1,01,D,300,D,3,D,,A,,A,05,D,2022,D
20223,05023082,14,0,1,02,D,300,D,3,D,,A,,A,05,D,2022,D
20223,05037172,38,0,1,03,D,200,D,1,D,,A,,A,06,D,2018,D
20223,05040353,45,0,1,02,D,200,D,1,D,425000,D,14000,D,07,D,2022,D
20223,05043832,14,0,1,02,D,300,D,1,D,,A,,A,08,D,2021,D
20223,05097064,32,0,1,01,D,200,D,1,D,856800,T,33000,D,05,D,2022,D
20223,05107611,30,0,1,01,D,200,D,1,D,856800,T,39100,D,06,D,2022,D
20223,05111441,12,0,1,01,D,200,D,1,D,245000,D,480,F,07,D,2022,D
20223,05111921,28,0,1,02,D,200,D,1,D,856800,T,87021,D,08,D,2022,D
20223,05113412,17,0,1,02,D,200,D,1,D,351000,D,14000,F,07,D,2022,D
20223,05115734,24,0,1,02,D,200,D,1,D,167000,D,6000,D,06,D,2022,D
20223,05116451,19,0,1,02,D,300,D,2,D,,A,,A,06,D,2022,D
20224,04932014,12,0,1,01,D,300,D,3,D,,A,,A,09,D,2022,D
20224,04935124,21,0,1,02,D,200,D,1,D,350000,D,0,D,07,D,2022,D
20224,04949554,22,0,1,02,D,400,D,1,D,197200,V,6650,F,08,D,2022,D
20224,04954844,23,0,2,01,D,300,D,1,D,234778,T,7100,D,09,D,2022,D
20224,04956704,18,0,1,02,D,200,D,1,D,370000,D,30000,D,10,D,2022,D
20224,05015553,14,0,1,02,D,200,D,1,D,410000,D,5000,D,07,D,2022,D
20224,05017123,19,0,1,02,D,400,D,3,D,,A,,A,09,D,2022,D
20224,05017123,20,0,1,04,D,400,D,3,D,,A,,A,07,D,2022,D
20224,05017123,21,0,1,05,D,400,D,3,D,,A,,A,07,D,2000,D
20224,05021623,27,0,1,02,D,300,D,1,D,234778,T,15000,D,08,D,2022,D
20224,05043663,33,0,1,05,D,400,D,3,D,,A,,A,09,D,2022,D
20224,05044343,19,0,2,01,D,200,D,1,D,740714,V,4000,F,09,D,2022,D
20224,05090802,31,0,1,03,D,200,D,1,D,,A,,A,07,D,2019,D
20224,05098492,53,0,1,02,D,200,D,1,D,535000,D,53000,D,08,D,2022,D
20224,05101392,18,0,1,02,D,200,D,1,D,740714,T,4000,D,08,D,2022,D
20224,05109702,6,0,1,02,D,200,D,1,D,,A,,A,11,D,2022,D
20224,05110882,26,0,1,02,D,300,D,1,D,234778,T,75000,D,10,D,2022,D
20224,05121382,19,0,1,01,D,200,D,2,D,,A,,A,08,D,2021,D
20224,05122904,33,0,2,01,D,200,D,1,D,332000,D,32000,D,08,D,2022,D
20224,05201991,17,0,1,02,D,200,D,2,D,,A,,A,09,D,2021,D
20224,05202301,20,0,1,04,D,400,D,1,D,197200,T,3000,D,07,D,2022,D
20224,05205061,15,0,1,01,D,200,D,1,D,740714,T,35000,D,09,D,2022,D
20224,05215751,19,0,1,02,D,200,D,1,D,157000,D,12175,D,10,D,2022,D
20224,05215751,20,0,1,03,D,200,D,1,D,,A,,A,09,D,1998,D
20224,05221501,17,0,1,02,D,200,D,1,D,332000,F,32000,F,08,D,2022,D
20224,05229331,36,0,1,01,D,300,D,1,D,234778,T,25000,D,10,D,2022,D
20224,05233581,11,0,1,02,D,400,D,1,D,197200,T,6650,D,09,D,2022,D
20224,05236034,16,0,1,01,D,200,D,1,D,205000,D,6150,D,11,D,2022,D
20231,05012544,49,0,1,02,D,300,D,1,D,234778,T,260,D,10,D,2022,D
20231,05013214,26,0,1,01,D,100,D,1,D,450000,D,2500,D,11,D,2022,D
20231,05013244,13,0,1,01,D,100,D,3,D,,A,,A,11,D,2022,D
20231,05015004,15,0,1,01,D,300,D,3,D,,A,,A,10,D,2022,D
20231,05015004,16,0,1,02,D,300,D,2,D,,A,,A,10,D,2022,D
20231,05015004,17,0,1,03,D,300,D,2,D,,A,,A,10,D,2022,D
20231,05016604,67,0,1,03,D,300,D,1,D,234778,T,0,D,10,D,2022,D
20231,05020094,16,0,1,01,D,200,D,1,D,740714,T,42000,D,10,D,2022,D
20231,05032524,29,0,2,01,D,400,D,2,D,,A,,A,11,D,2022,D
20231,05091453,9,0,1,01,D,300,D,3,D,,A,,A,12,D,2022,D
20231,05092143,19,0,1,02,D,200,D,1,D,,A,,A,11,D,2022,D
20231,05098713,26,0,1,04,D,300,D,1,D,234778,T,10000,D,12,D,2022,D
20231,05100673,38,0,1,02,D,200,D,1,D,740714,T,68000,D,12,D,2022,D
20231,05106623,24,0,1,02,D,300,D,1,D,234778,T,0,D,01,D,2023,D
20231,05106933,32,0,2,01,D,200,D,1,D,740714,T,24000,D,12,D,2022,D
20231,05110063,16,0,1,02,D,300,D,1,D,,A,,A,01,D,2022,D
20231,05110723,20,0,1,03,D,300,D,1,D,234778,V,10000,F,02,D,2023,D
20231,05121143,22,0,1,01,D,400,D,3,D,,A,,A,11,D,2022,D
20231,05205832,27,0,1,03,D,200,D,3,D,,A,,A,12,D,2022,D
20231,05205832,28,0,1,04,D,200,D,3,D,,A,,A,11,D,2022,D
20231,05213162,21,0,2,02,D,200,D,2,D,,A,,A,11,D,2022,D
20231,05229512,27,0,1,02,D,200,D,1,D,450000,D,5000,D,01,D,2023,D
20231,05231252,20,0,1,02,D,200,D,1,D,,A,,A,02,D,2016,D
20231,05236532,21,0,1,01,D,400,D,1,D,197200,T,1381,D,01,D,2023,D
20231,05252542,21,0,1,02,D,200,D,1,D,,A,,A,12,D,2021,D
20231,05264794,30,0,1,02,D,200,D,1,D,308000,D,25000,D,11,D,2022,D
20231,05274131,27,0,1,02,D,200,D,1,D,192000,D,5760,D,11,D,2022,D
20231,05279754,24,0,1,01,D,200,D,1,D,740714,T,45000,D,01,D,2023,D
